mode,brand,fuel_type,kilometers_driven,mileage,owner_type,power,price,seats,transmission,year
AMBASSADOR CLASSIC,AMBASSADOR,Diesel,80000,12.8,Third,35.5,1.35,5,Manual,2003
AUDI A3,AUDI,Diesel,79271,20.38,First,143,16.5,5,Automatic,2014
AUDI A3,AUDI,Diesel,22000,20.38,Second,143,22.5,5,Automatic,2017
AUDI A3,AUDI,Diesel,20003,20.38,First,143,19.25,5,Automatic,2016
AUDI A3,AUDI,Diesel,39000,20.38,First,143,18.9,5,Automatic,2016
AUDI A4,AUDI,Diesel,40670,15.2,Second,140.8,17.74,5,Automatic,2013
AUDI A4,AUDI,Diesel,13648,17.11,First,174.33,21.43,5,Automatic,2015
AUDI A4,AUDI,Diesel,65664,16.55,First,140,13.5,5,Automatic,2012
AUDI A4,AUDI,Diesel,30000,14.94,First,241.4,9.8,5,Automatic,2010
AUDI A4,AUDI,Diesel,48214,17.11,First,174.33,23.32,5,Automatic,2015
AUDI A4,AUDI,Diesel,45979,17.11,Second,174.33,19.5,5,Automatic,2013
AUDI A4,AUDI,Diesel,46000,16.55,Second,147.51,10.99,5,Automatic,2011
AUDI A4,AUDI,Diesel,47346,16.55,First,147.51,14.5,5,Automatic,2012
AUDI A4,AUDI,Diesel,59000,16.55,First,140,12.5,5,Automatic,2011
AUDI A4,AUDI,Diesel,34000,16.55,First,147.51,9.95,5,Automatic,2009
AUDI A4,AUDI,Diesel,45000,18.25,First,187.74,25,5,Automatic,2015
AUDI A4,AUDI,Diesel,77395,17.11,First,174.33,14.35,5,Automatic,2014
AUDI A4,AUDI,Diesel,36000,16.55,Second,147.51,14,5,Automatic,2013
AUDI A4,AUDI,Diesel,68193,17.11,First,174.33,24.74,5,Automatic,2016
AUDI A4,AUDI,Diesel,21000,17.11,First,174.33,24.5,5,Automatic,2014
AUDI A4,AUDI,Diesel,60000,15.2,Second,140.8,10.35,5,Automatic,2012
AUDI A4,AUDI,Diesel,46913,14.94,First,241.4,16.11,5,Automatic,2012
AUDI A4,AUDI,Diesel,45330,16.55,First,147.51,13.19,5,Automatic,2013
AUDI A4,AUDI,Diesel,70000,17.11,First,174.33,18,5,Automatic,2014
AUDI A4,AUDI,Diesel,82002,16.55,Second,147.51,17.5,5,Automatic,2013
AUDI A4,AUDI,Diesel,44555,15.2,First,140.8,13.5,5,Automatic,2012
AUDI A4,AUDI,Diesel,67000,16.55,First,147.51,14.5,5,Automatic,2013
AUDI A4,AUDI,Diesel,24000,17.11,First,174.33,25,5,Automatic,2014
AUDI A4,AUDI,Diesel,105000,16.55,Second,140,14.5,5,Automatic,2011
AUDI A4,AUDI,Diesel,45200,16.55,First,147.51,13.5,5,Automatic,2013
AUDI A4,AUDI,Diesel,50000,17.11,First,174.33,25,5,Automatic,2015
AUDI A4,AUDI,Petrol,38000,10.8,First,132,12,5,Automatic,2011
AUDI A4,AUDI,Diesel,60000,16.55,First,147.51,24,5,Automatic,2014
AUDI A4,AUDI,Diesel,87000,17.11,First,174.33,15.5,5,Automatic,2013
AUDI A4,AUDI,Diesel,85000,16.55,First,147.51,13.95,5,Automatic,2011
AUDI A4,AUDI,Diesel,11000,17.11,First,174.33,28,5,Automatic,2016
AUDI A4,AUDI,Diesel,39644,17.11,First,174.33,25.75,5,Automatic,2016
AUDI A4,AUDI,Diesel,21979,17.11,First,174.33,23.45,5,Automatic,2015
AUDI A4,AUDI,Diesel,57773,17.11,Second,174.33,20.04,5,Automatic,2014
AUDI A4,AUDI,Petrol,38001,12.3,First,163.2,8.5,5,Automatic,2010
AUDI A4,AUDI,Diesel,53000,16.55,First,140,20.5,5,Automatic,2014
AUDI A4,AUDI,Diesel,32205,17.11,First,174.33,25.31,5,Automatic,2015
AUDI A4,AUDI,Petrol,61221,17.84,First,147.51,21.73,5,Automatic,2017
AUDI A4,AUDI,Diesel,69000,15.2,Second,140.8,10.25,5,Automatic,2012
AUDI A4,AUDI,Diesel,60001,17.11,First,174.33,14.5,5,Automatic,2013
AUDI A4,AUDI,Petrol,53000,12.3,First,163.2,9.5,5,Automatic,2011
AUDI A4,AUDI,Diesel,40000,17.11,First,174.33,22.5,5,Automatic,2014
AUDI A4,AUDI,Diesel,74002,16.55,First,140,18.5,5,Automatic,2012
AUDI A4,AUDI,Diesel,39237,17.11,First,174.33,25.64,5,Automatic,2016
AUDI A4,AUDI,Diesel,60000,15.2,Second,140.8,16,5,Automatic,2012
AUDI A4,AUDI,Diesel,59000,16.55,First,140,10,5,Automatic,2010
AUDI A4,AUDI,Diesel,40000,17.11,First,174.33,17.5,5,Automatic,2014
AUDI A4,AUDI,Diesel,58970,17.11,First,174.33,23.75,5,Automatic,2015
AUDI A4,AUDI,Diesel,76000,16.55,Second,147.51,18.25,5,Automatic,2013
AUDI A4,AUDI,Petrol,125000,10.5,First,163.6344156,18,5,Automatic,2012
AUDI A4,AUDI,Diesel,35463,14.94,First,241.4,25.02,5,Automatic,2015
AUDI A4,AUDI,Diesel,88000,16.55,First,140,7.98,5,Automatic,2009
AUDI A4,AUDI,Diesel,13506,18.25,First,187.74,21.66,5,Automatic,2015
AUDI A4,AUDI,Diesel,58000,16.55,First,140,11,5,Automatic,2011
AUDI A4,AUDI,Diesel,60000,17.11,First,174.33,25,5,Automatic,2015
AUDI A4,AUDI,Diesel,60000,15.2,Second,140.8,10.2,5,Automatic,2012
AUDI A4,AUDI,Diesel,38163,17.11,First,174.33,32.91,5,Automatic,2019
AUDI A4,AUDI,Diesel,13000,16.55,First,140,23,5,Automatic,2015
AUDI A4,AUDI,Diesel,30000,17.11,First,174.33,27,5,Automatic,2015
AUDI A4,AUDI,Diesel,52000,16.55,First,147.51,19.5,5,Automatic,2013
AUDI A4,AUDI,Diesel,14000,18.25,First,187.74,43,5,Automatic,2017
AUDI A4,AUDI,Diesel,88000,17.11,First,174.33,16.25,5,Automatic,2013
AUDI A4,AUDI,Diesel,17000,15.2,First,140.8,9.75,5,Automatic,2008
AUDI A4,AUDI,Diesel,28469,18.25,First,187.74,24.37,5,Automatic,2014
AUDI A4,AUDI,Diesel,29000,17.11,First,174.33,26,5,Automatic,2014
AUDI A4,AUDI,Diesel,44811,17.11,First,174.33,25.81,5,Automatic,2015
AUDI A4,AUDI,Petrol,80000,15.64,First,167.62,17.5,5,Automatic,2012
AUDI A4,AUDI,Diesel,54000,16.55,First,147.51,18,5,Automatic,2011
AUDI A4,AUDI,Diesel,88000,16.55,First,140,16.25,5,Automatic,2012
AUDI A4,AUDI,Diesel,55730,16.55,First,147.51,15.21,5,Automatic,2014
AUDI A4,AUDI,Diesel,29063,17.11,First,174.33,25.75,5,Automatic,2014
AUDI A4,AUDI,Diesel,46000,16.55,First,147.51,9.95,5,Automatic,2009
AUDI A4,AUDI,Diesel,46000,16.55,First,147.51,8.5,5,Automatic,2009
AUDI A4,AUDI,Diesel,30000,14.94,First,241.4,24.5,5,Automatic,2014
AUDI A4,AUDI,Diesel,37600,16.55,Second,147.51,22.5,5,Automatic,2014
AUDI A4,AUDI,Diesel,40000,17.11,First,174.33,22,5,Automatic,2014
AUDI A4,AUDI,Diesel,57000,16.55,Second,147.51,9.75,5,Automatic,2011
AUDI A4,AUDI,Diesel,58629,18.25,Second,187.74,16.52,5,Automatic,2013
AUDI A6,AUDI,Petrol,55985,13.53,First,177.01,23.5,5,Automatic,2015
AUDI A6,AUDI,Diesel,35000,12.4,First,179.5,11.5,5,Automatic,2010
AUDI A6,AUDI,Diesel,56000,18.53,Second,187.74,29.5,5,Automatic,2014
AUDI A6,AUDI,Diesel,48367,17.68,First,174.33,39.58,5,Automatic,2018
AUDI A6,AUDI,Diesel,62500,17.68,Second,174.33,19,5,Automatic,2012
AUDI A6,AUDI,Diesel,40000,17.68,First,174.33,22.95,5,Automatic,2014
